﻿level6 LINK ID,연월,평일 / 주말,주요시간대,도로등급,시도명,시군구명,읍면동명,15% 주행속도 (km/h),25% 주행속도 (km/h),30% 주행속도 (km/h),50% 주행속도 (km/h),75% 주행속도 (km/h),85% 주행속도 (km/h),평균속도 (km/h),속도 표준편차 (km/h),최대속도 (km/h)
57160511702,202110,평일,7,특별광역시도,서울특별시,강남구,대치4동,32,36,37,42,48,51,41.29,10.68,68
57160511702,202110,평일,8,특별광역시도,서울특별시,강남구,대치4동,10,19,22,31,37,42,28.3,13.05,61
57160512301,202110,평일,7,특별광역시도,서울특별시,강남구,대치2동,5,5,5,8,15,28,14.17,14.75,74
57160512301,202110,평일,8,특별광역시도,서울특별시,강남구,대치2동,3,4,4,7,21,33,14.65,16.17,81
57160512302,202110,평일,7,특별광역시도,서울특별시,강남구,대치2동,33,39,40,44,50,53,43.65,11.96,81
57160512302,202110,평일,8,특별광역시도,서울특별시,강남구,대치2동,36,39,41,45,50,52,43.67,9.62,73
57160512801,202110,평일,7,특별광역시도,서울특별시,강남구,대치2동,12,18,19,22,24,25,20.59,6.06,44
57160512801,202110,평일,8,특별광역시도,서울특별시,강남구,대치2동,10,12,13,14,22,24,17.22,7.4,50
57160516501,202110,평일,7,특별광역시도,서울특별시,강남구,대치2동,31,37,38,43,49,52,42.45,11.8,73
57160516501,202110,평일,8,특별광역시도,서울특별시,강남구,대치2동,33,37,38,43,48,51,42.14,9.71,65
57160516502,202110,평일,7,특별광역시도,서울특별시,강남구,대치2동,4,4,5,7,14,30,13.77,15.04,67
57160516502,202110,평일,8,특별광역시도,서울특별시,강남구,대치2동,3,3,4,6,23,34,14.7,16.63,85
57160526001,202110,평일,7,특별광역시도,서울특별시,강남구,세곡동,33,34,34,34,39,40,35.82,2.95,40
57160526001,202110,평일,8,특별광역시도,서울특별시,강남구,세곡동,33,33,34,38,41,43,38.38,6.06,55
57160540201,202110,평일,7,특별광역시도,서울특별시,강남구,역삼2동,31,33,34,36,40,44,36.99,9.49,77
57160540201,202110,평일,8,특별광역시도,서울특별시,강남구,역삼2동,32,33,34,38,47,52,40.54,10.48,81
57160540202,202110,평일,7,특별광역시도,서울특별시,강남구,역삼2동,2,9,10,26,38,52,26.5,19.78,80
57160540202,202110,평일,8,특별광역시도,서울특별시,강남구,역삼2동,2,3,7,28,35,39,23.68,16.9,72
57160541001,202110,평일,7,특별광역시도,서울특별시,강남구,역삼2동,7,9,9,15,40,49,24.49,19.13,76
57160541001,202110,평일,8,특별광역시도,서울특별시,강남구,역삼2동,11,14,17,30,44,51,30.57,17.3,79
57160541002,202110,평일,7,특별광역시도,서울특별시,강남구,역삼2동,36,39,41,44,51,53,44.68,8.9,71
57160541002,202110,평일,8,특별광역시도,서울특별시,강남구,역삼2동,35,38,39,43,49,52,43.43,8.73,69
57160545901,202110,평일,7,특별광역시도,서울특별시,강남구,역삼2동,5,6,6,17,50,55,27.26,23.51,87
57160545901,202110,평일,8,특별광역시도,서울특별시,강남구,역삼2동,4,5,5,9,36,47,20,19.47,91
57160546501,202110,평일,7,특별광역시도,서울특별시,강남구,역삼2동,5,7,10,36,54,58,32.5,22.62,73
57160546501,202110,평일,8,특별광역시도,서울특별시,강남구,역삼2동,4,4,5,10,40,52,22.52,20.93,74
57160547201,202110,평일,7,특별광역시도,서울특별시,강남구,역삼2동,36,38,39,43,50,56,44.5,10.24,79
57160547201,202110,평일,8,특별광역시도,서울특별시,강남구,역삼2동,33,36,37,41,47,50,41.53,9.34,69
57160548501,202110,평일,7,특별광역시도,서울특별시,강남구,세곡동,11,16,23,43,52,54,36.36,18.59,73
57160548501,202110,평일,8,특별광역시도,서울특별시,강남구,세곡동,1,6,6,8,36,53,19.85,20.73,69
57160549201,202110,평일,7,특별광역시도,서울특별시,강남구,대치4동,30,32,35,46,54,58,44.24,13.82,78
57160549201,202110,평일,8,특별광역시도,서울특별시,강남구,대치4동,28,31,33,41,47,52,39.94,11.54,68
57160550301,202110,평일,7,특별광역시도,서울특별시,강남구,대치4동,32,37,38,44,51,54,43.21,11.41,72
57160550301,202110,평일,8,특별광역시도,서울특별시,강남구,대치4동,22,25,28,36,43,48,34.5,11.8,64
57160550302,202110,평일,7,특별광역시도,서울특별시,강남구,대치4동,17,21,22,29,38,43,29.23,11.66,57
57160550302,202110,평일,8,특별광역시도,서울특별시,강남구,대치4동,5,7,8,16,27,32,18.1,12.55,56
57160551901,202110,평일,7,특별광역시도,서울특별시,강남구,역삼2동,27,35,36,42,48,53,40.63,12.08,73
57160551901,202110,평일,8,특별광역시도,서울특별시,강남구,역삼2동,32,38,40,44,50,52,42.36,12.03,69
57160552901,202110,평일,7,국가지원지방도,서울특별시,강남구,수서동,36,37,37,39,42,43,39.33,4.11,53
57160552901,202110,평일,8,국가지원지방도,서울특별시,강남구,수서동,36,38,38,40,43,44,40.23,4.05,52
57160553301,202110,평일,7,국가지원지방도,서울특별시,강남구,수서동,52,54,54,64,74,80,64.56,13.14,97
57160553301,202110,평일,8,국가지원지방도,서울특별시,강남구,수서동,53,54,55,66,75,80,65.9,13.34,124
57160556901,202110,평일,7,특별광역시도,서울특별시,강남구,역삼2동,22,28,30,38,44,48,36.97,14.21,84
57160556901,202110,평일,8,특별광역시도,서울특별시,강남구,역삼2동,24,30,32,37,43,46,36.04,12.38,86
57160556902,202110,평일,7,특별광역시도,서울특별시,강남구,역삼2동,3,4,5,14,33,48,21.83,20.16,84
57160556902,202110,평일,8,특별광역시도,서울특별시,강남구,역삼2동,3,4,5,13,31,38,19.28,16.1,63
57160557301,202110,평일,7,특별광역시도,서울특별시,강남구,대치1동,39,42,43,49,54,57,45.75,14.61,85
57160557301,202110,평일,8,특별광역시도,서울특별시,강남구,대치1동,21,32,36,45,52,54,39.4,17.16,76
57160558301,202110,평일,7,특별광역시도,서울특별시,강남구,대치1동,9,11,11,12,19,28,17.73,14.21,65
57160558301,202110,평일,8,특별광역시도,서울특별시,강남구,대치1동,10,11,12,14,42,47,24.64,17.34,68
57160560601,202110,평일,7,특별광역시도,서울특별시,강남구,역삼2동,28,31,32,36,42,45,37.41,9.9,77
57160560601,202110,평일,8,특별광역시도,서울특별시,강남구,역삼2동,22,27,29,35,42,48,35.22,12.03,74
57160560602,202110,평일,7,특별광역시도,서울특별시,강남구,역삼2동,3,5,9,22,39,44,23.91,18.07,75
57160560602,202110,평일,8,특별광역시도,서울특별시,강남구,역삼2동,2,6,11,28,39,46,25.68,17.6,71
57160565501,202110,평일,7,특별광역시도,서울특별시,강남구,일원2동,53,55,56,62,69,73,62.3,10.51,88
57160565501,202110,평일,8,특별광역시도,서울특별시,강남구,일원2동,53,55,56,60,67,70,61.24,9.08,95
57160565701,202110,평일,7,특별광역시도,서울특별시,강남구,일원2동,40,43,44,46,51,54,46.36,7.26,62
57160565701,202110,평일,8,특별광역시도,서울특별시,강남구,일원2동,39,42,43,46,51,54,46.44,7.89,77
57160565702,202110,평일,7,특별광역시도,서울특별시,강남구,일원2동,3,4,5,18,36,51,23.23,20.43,71
57160565702,202110,평일,8,특별광역시도,서울특별시,강남구,일원2동,4,6,8,29,44,53,27.88,20.41,75
57160573201,202110,평일,7,국가지원지방도,서울특별시,강남구,수서동,39,47,49,54,61,65,52.47,13.52,89
57160573201,202110,평일,8,국가지원지방도,서울특별시,강남구,수서동,38,46,48,54,61,64,51.68,14.2,83
57160574101,202110,평일,7,국가지원지방도,서울특별시,강남구,일원1동,36,41,46,50,57,62,49.02,11.8,68
57160574101,202110,평일,8,국가지원지방도,서울특별시,강남구,일원1동,45,48,48,51,54,57,51.12,8.18,72
57160574201,202110,평일,7,특별광역시도,서울특별시,강남구,일원1동,48,49,50,52,57,58,52.72,5.54,69
57160574201,202110,평일,8,특별광역시도,서울특별시,강남구,일원1동,47,50,51,54,57,58,52.72,5.39,61
57160574301,202110,평일,7,특별광역시도,서울특별시,강남구,수서동,44,49,49,62,66,70,58.83,9.25,70
57160574301,202110,평일,8,특별광역시도,서울특별시,강남구,수서동,49,54,55,59,64,65,57.91,6.92,69
57160575001,202110,평일,7,특별광역시도,서울특별시,강남구,수서동,50,54,55,59,65,69,59.83,9.5,101
57160575001,202110,평일,8,특별광역시도,서울특별시,강남구,수서동,49,52,54,60,67,71,60.05,10.59,129
57160575501,202110,평일,7,특별광역시도,서울특별시,강남구,일원1동,55,58,60,65,70,72,63.95,9.08,92
57160575501,202110,평일,8,특별광역시도,서울특별시,강남구,일원1동,52,56,58,63,69,73,62.68,10.55,116
57160580601,202110,평일,7,특별광역시도,서울특별시,강남구,역삼1동,29,33,34,38,48,52,40.78,12.1,77
57160580601,202110,평일,8,특별광역시도,서울특별시,강남구,역삼1동,33,36,38,43,48,53,42.99,10.88,79
57160580602,202110,평일,7,특별광역시도,서울특별시,강남구,역삼1동,5,5,8,39,52,59,31.96,22.65,68
57160580602,202110,평일,8,특별광역시도,서울특별시,강남구,역삼1동,5,5,6,41,51,56,32.64,22.31,76
57160585001,202110,평일,7,특별광역시도,서울특별시,강남구,역삼1동,19,23,23,24,32,38,27.83,6.41,38
57160585001,202110,평일,8,특별광역시도,서울특별시,강남구,역삼1동,23,23,24,28,29,29,26.29,3.69,31
57160585002,202110,평일,7,특별광역시도,서울특별시,강남구,역삼1동,17,25,25,27,30,31,26,4.98,31
57160585002,202110,평일,8,특별광역시도,서울특별시,강남구,역삼1동,18,23,23,28,30,39,27.6,7.06,39
57160590301,202110,평일,7,특별광역시도,서울특별시,강남구,개포2동,12,13,13,15,42,50,25.39,18.04,73
57160590301,202110,평일,8,특별광역시도,서울특별시,강남구,개포2동,11,13,13,22,45,52,28.88,18.12,77
57160590302,202110,평일,7,특별광역시도,서울특별시,강남구,개포2동,38,41,41,44,47,48,43.94,6.86,84
57160590302,202110,평일,8,특별광역시도,서울특별시,강남구,개포2동,38,40,41,43,47,49,42.57,7.55,70
57160590401,202110,평일,7,특별광역시도,서울특별시,강남구,개포2동,42,46,47,50,57,60,51.31,9.31,82
57160590401,202110,평일,8,특별광역시도,서울특별시,강남구,개포2동,37,41,42,47,53,57,47.08,10.12,82
57160590402,202110,평일,7,특별광역시도,서울특별시,강남구,개포2동,10,11,12,19,35,42,24.14,15.44,72
57160590402,202110,평일,8,특별광역시도,서울특별시,강남구,개포2동,8,10,11,15,30,41,21.78,15.53,92
57160598101,202110,평일,7,특별광역시도,서울특별시,강남구,도곡1동,39,45,46,50,52,54,46.92,10.08,68
