unixtime,latitude,longitude,speed
1202506745298,37.6296002714,-122.0827946067,24.280
1202506748304,37.6298983317,-122.0830044056,22.335
1202506752298,37.6301677260,-122.0832080858,18.356
1202506756294,37.6303057759,-122.0833114346,13.992
1202506759301,37.6303709033,-122.0833562778,11.180
1202506762303,37.6304305824,-122.0834026297,9.919
1202506765316,37.6305100428,-122.0834616383,9.934
1202506769299,37.6306720649,-122.0835759674,11.238
1202506772300,37.6308457379,-122.0836592835,13.001
1202506776295,37.6311010506,-122.0838412545,14.457
1202506779299,37.6312618154,-122.0839596069,15.152
1202506782300,37.6314172997,-122.0840728464,16.007
1202506786297,37.6315746279,-122.0841810567,16.131
1202506790301,37.6318570141,-122.0844171749,18.684
1202506794294,37.6321745205,-122.0846625969,20.005
1202506798296,37.6325349422,-122.0849237769,21.034
1202506801296,37.6327621755,-122.0850816919,20.798
1202506805296,37.6329655204,-122.0852193227,19.952
1202506808299,37.6331660155,-122.0853664250,21.297
1202506812286,37.6335028840,-122.0856048901,22.624
1202506815296,37.6337664948,-122.0857920579,23.120
1202506818298,37.6340677403,-122.0860062155,23.529
1202506822293,37.6344418245,-122.0862406572,22.503
1202506825300,37.6346571555,-122.0863704928,20.390
1202506829291,37.6348677088,-122.0865039327,18.136
1202506833286,37.6350677847,-122.0866377916,17.211
1202506836290,37.6352294716,-122.0867509473,16.923
1202506839294,37.6354157174,-122.0868936910,17.471
1202506842296,37.6356141170,-122.0870278853,18.222
1202506845296,37.6358248379,-122.0871760772,19.378
1202506849293,37.6360888678,-122.0873671007,20.213
1202506852295,37.6363136704,-122.0875364989,21.600
1202506855296,37.6365728387,-122.0877285283,22.980
1202506859294,37.6369164128,-122.0879843439,23.964
1202506863292,37.6372631720,-122.0882275028,24.752
1202506867283,37.6376100150,-122.0884794627,25.889
1202506870293,37.6378662497,-122.0886636130,26.839
1202506874284,37.6382675751,-122.0889471727,28.855
1202506877289,37.6386013423,-122.0891853863,30.565
1202506880290,37.6389577407,-122.0894397770,32.046
1202506884289,37.6394168174,-122.0897641565,32.984
1202506888280,37.6398774028,-122.0900887875,34.008
1202506891284,37.6402467093,-122.0903522306,34.895
1202506895290,37.6407968134,-122.0907014206,35.821
1202506899284,37.6413467499,-122.0910050968,35.879
1202506903286,37.6418460596,-122.0913500958,35.607
1202506906288,37.6422079901,-122.0916146286,35.180
1202506909294,37.6425819066,-122.0918826817,34.850
1202506913288,37.6430506225,-122.0922363141,34.127
1202506916288,37.6434057636,-122.0924986676,33.490
1202506919292,37.6437462364,-122.0927390605,32.395
1202506923281,37.6441764793,-122.0930818802,31.589
1202506926285,37.6444798203,-122.0933267993,30.601
1202506929289,37.6448002603,-122.0935506798,29.805
1202506932294,37.6450644578,-122.0937365066,27.794
1202506936277,37.6455668689,-122.0940556055,28.260
1202506940290,37.6459897357,-122.0942187173,25.604
1202506943290,37.6462339005,-122.0941170448,22.994
1202506946291,37.6463591261,-122.0938856206,20.898
1202506950290,37.6463292027,-122.0935332455,20.216
1202506954290,37.6460726327,-122.0933368576,20.404
1202506958281,37.6457179107,-122.0934557967,21.616
1202506962290,37.6454093730,-122.0936344150,21.321
1202506966289,37.6450204528,-122.0938214990,23.146
1202506970289,37.6446239889,-122.0942582798,22.111
1202506974288,37.6445306984,-122.0946105711,18.256
1202506978290,37.6446003520,-122.0947927936,14.148
1202506981292,37.6446432673,-122.0946863435,12.302
1202506984298,37.6446540800,-122.0943100800,13.130
1202506988284,37.6446479612,-122.0941477226,9.043
1202506991284,37.6446095721,-122.0940735428,7.255
1202506995277,37.6445352246,-122.0939989438,6.834
1202506998283,37.6445029543,-122.0939621473,5.973
1202507002279,37.6444827539,-122.0939431204,5.126
1202507005293,37.6444453706,-122.0939658353,5.517
1202507009279,37.6441840230,-122.0937904022,8.374
1202507013278,37.6441163811,-122.0937711238,5.247
1202507017277,37.6441054008,-122.0937604788,3.825
1202507020278,37.6441004555,-122.0937527674,3.622
1202507024277,37.6440914030,-122.0937339082,4.105
1202507027277,37.6440841946,-122.0937184016,5.215
1202507030278,37.6439888924,-122.0936584711,8.265
1202507033278,37.6438183207,-122.0935353410,11.159
1202507037280,37.6435319112,-122.0933506877,13.274
1202507041281,37.6433180051,-122.0931995620,12.447
1202507045276,37.6432149077,-122.0931051818,10.763
1202507049280,37.6430774446,-122.0929952113,10.073
1202507053276,37.6429460164,-122.0929034295,8.478
1202507056286,37.6428963955,-122.0928673873,6.624
1202507060274,37.6428603534,-122.0928398109,5.721
1202507064282,37.6427890234,-122.0927455983,6.370
1202507067284,37.6427510534,-122.0927233025,6.103
1202507071272,37.6426517279,-122.0926501285,7.066
1202507074282,37.6425590240,-122.0925820675,7.760
1202507078270,37.6423793161,-122.0924763717,8.656
1202507082268,37.6422519112,-122.0923906249,8.549
1202507085279,37.6422126839,-122.0923513976,8.443
1202507089275,37.6421373307,-122.0923141819,9.932
1202507092278,37.6420051481,-122.0922263396,12.863
1202507096277,37.6417827763,-122.0920521637,16.369
1202507100277,37.6415030723,-122.0918459690,20.445
1202507103277,37.6412400483,-122.0916408639,24.671
1202507106280,37.6409273196,-122.0913819470,28.665
1202507110278,37.6404324522,-122.0909783585,32.223
1202507114271,37.6399090025,-122.0905814756,34.181
1202507117280,37.6395651770,-122.0903140091,34.943
1202507120280,37.6392345111,-122.0900545055,35.831
1202507124279,37.6387543958,-122.0896993644,37.587
1202507128279,37.6381638071,-122.0892742345,40.431
1202507132278,37.6375461449,-122.0888317540,42.434
1202507136280,37.6369267225,-122.0883920395,44.482
1202507139280,37.6364393150,-122.0880408379,46.884
1202507143281,37.6357491494,-122.0875577052,49.476
1202507147269,37.6350263782,-122.0870469960,52.126
1202507151269,37.6342423352,-122.0864929524,54.885
1202507154269,37.6336323844,-122.0860513101,57.338
1202507157270,37.6329943541,-122.0855865337,59.505
1202507160272,37.6323377161,-122.0851111124,60.873
1202507163282,37.6316794017,-122.0846423127,61.426
1202507167270,37.6307894115,-122.0840093116,61.532
1202507170282,37.6301424127,-122.0835560185,60.518
1202507174272,37.6293263509,-122.0829784217,59.101
1202507177278,37.6287195013,-122.0825505257,58.019
1202507180280,37.6281317625,-122.0821352026,57.035
1202507184273,37.6273459594,-122.0815786444,56.736
1202507187273,37.6267664348,-122.0811702783,56.762
1202507191272,37.6259821404,-122.0806100321,57.521
1202507195277,37.6251595408,-122.0800204492,58.890
1202507199275,37.6243034135,-122.0794064750,60.398
1202507203268,37.6234387367,-122.0787811853,61.722
1202507207276,37.6225561226,-122.0781377907,62.995
1202507211274,37.6216498716,-122.0774897021,64.172
1202507214278,37.6209622205,-122.0769995286,64.977
1202507218268,37.6200330031,-122.0763401246,65.493
1202507221269,37.6193340364,-122.0758385517,65.423
1202507224269,37.6186311303,-122.0753396610,64.850
1202507227269,37.6179412999,-122.0748496551,63.492
1202507231277,37.6170931355,-122.0742443981,61.041
1202507235266,37.6162910715,-122.0736671367,58.974
1202507238276,37.6156971300,-122.0732468682,57.489
1202507242267,37.6149344609,-122.0727017094,56.481
1202507245282,37.6143682636,-122.0722914992,56.228
1202507249273,37.6136142279,-122.0717128128,57.179
1202507253275,37.6127897842,-122.0711161892,58.882
1202507257265,37.6119284601,-122.0705000357,60.507
1202507261266,37.6110428286,-122.0698672023,61.652
1202507265262,37.6101403494,-122.0692252326,62.366
1202507268270,37.6094771735,-122.0687553433,62.257
1202507271272,37.6088321863,-122.0682993679,61.877
1202507274276,37.6082084053,-122.0678609107,61.516
1202507278262,37.6073612467,-122.0672650414,61.948
1202507281264,37.6067050277,-122.0667995945,62.737
1202507285274,37.6057954239,-122.0661607261,63.829
1202507288274,37.6051050906,-122.0656670322,64.763
1202507292274,37.6041738615,-122.0649991624,65.553
1202507296274,37.6032380224,-122.0643309573,66.011
1202507300272,37.6023085535,-122.0636675300,66.112
1202507303274,37.6016151189,-122.0631730817,65.928
1202507307261,37.6006910145,-122.0625180362,65.786
1202507310261,37.5999960711,-122.0620307963,65.337
1202507314259,37.5990734754,-122.0613998907,64.719
1202507317259,37.5984295778,-122.0609523811,63.606
1202507320259,37.5977586906,-122.0604781332,63.153
1202507323270,37.5971020525,-122.0600074895,62.227
1202507327253,37.5962235456,-122.0593808587,61.292
1202507330264,37.5955916341,-122.0589298286,59.804
1202507334266,37.5947930067,-122.0583599432,58.192
1202507338257,37.5940191897,-122.0578005352,57.147
