Type,Severity,StartTime(UTC),EndTime(UTC),TimeZone,LocationLat,LocationLng,AirportCode,County
Rain,Light,2017-01-21 7:56,2017-01-21 8:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2017-01-21 12:56,2017-01-21 14:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2017-01-21 20:56,2017-01-21 21:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2017-01-22 0:56,2017-01-22 4:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2017-01-22 5:56,2017-01-22 6:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2017-01-22 8:56,2017-01-22 9:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2017-01-22 10:51,2017-01-22 12:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Moderate,2017-01-22 12:56,2017-01-22 13:04,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2017-01-22 13:04,2017-01-22 13:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2017-01-22 21:43,2017-01-22 23:31,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Moderate,2017-01-22 23:31,2017-01-23 0:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2017-01-23 3:56,2017-01-23 4:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2017-01-23 6:56,2017-01-23 7:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2017-01-23 16:13,2017-01-23 16:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2017-01-23 18:56,2017-01-23 19:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2017-01-24 2:56,2017-01-24 3:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2017-01-24 4:56,2017-01-24 5:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Fog,Moderate,2017-02-01 17:56,2017-02-01 20:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2017-02-02 7:56,2017-02-02 9:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2017-02-02 11:41,2017-02-02 12:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2017-02-02 13:56,2017-02-02 14:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2017-02-02 22:56,2017-02-03 0:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2017-02-03 10:56,2017-02-03 13:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Moderate,2017-02-03 13:56,2017-02-03 14:09,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Fog,Moderate,2017-02-03 14:09,2017-02-03 14:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2017-02-04 2:56,2017-02-04 3:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2017-02-04 4:56,2017-02-04 6:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2017-02-04 7:18,2017-02-04 8:37,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2017-02-04 9:56,2017-02-04 10:31,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2017-02-04 10:46,2017-02-04 12:48,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2017-02-04 14:56,2017-02-04 16:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
